"The Hunger Games"
"The Adventures of Tintin"
"Last Action Hero"
"Thor"
"The Lorax"
"Argo"
"Silver Linings Playbook"
"The Invisible War"
"Beasts of the Southern Wild"
"Mission: Impossible - Ghost Protocol"
"Moonrise Kingdom"
"Mission: Impossible III"
"James and the Giant Peach"
"Star Trek II: The Wrath of Khan"
"These Amazing Shadows: The Movies That Make America"
"Star Trek III: The Search for Spock"
"Dumbo"
"The Evil Dead"
"The Evil Dead II"
"Army of Darkness"
"Tucker & Dale vs Evil"
"Looper"
"Gattaca"
"War Games"
"Love"
"Deep Impact"
"Godzilla"
"The Faculty"
"Double Indemnity"
"Super 8"
"Trashed"
"The Secret of Kells"
"Nirvana Live! Tonight! Sold Out!!"
"Barry Lyndon"
"A Knight's Tale"
"True Grit"
"Big Fish"
"The Place Beyond the Pines"
"Shotgun Stories"
"Oblivion"
"The Skin I Live In"
"The Last Temptation of Christ"
"Star Trek Into Darkness"
"The Hobbit: An Unexpected Journey"
"Sound City"
"Man on the Moon"
"Dreamscape"
"The Manhattan Project"
"Tucker: The Man and His Dream"
"Magic Trip"
"The Avengers"
"Oz The Great and Powerful"
"Man of Steel"
"The Rainmaker"
"Into the Wild"
"Dinotasia"
"World War Z"
"Terminator Salvation"
"Branded"
"Elysium"
"42"
"Classic Albums: Nirvana - Nevermind"
"Lee Daniels' The Butler"
"The Arrival"
"Dredd"
"The Road"
"The Great Gatsby"
"Microcosmos"
"Toys"
"Nirvana: Live at the Paramount"
"Enough Said"
"Congo"
"Nirvana: Live at Reading"
"Nirvana: MTV Unplugged in New York"
"Closed Curtain"
"The Motel Life"
"Cheap Thrills"
"Domestic"
"Heli"
"Star Trek: Nemesis"
"This Is the End"
"Pacific Rim"
"Flight"
"Gravity"
"Star Trek: Generations"
"Star Trek: First Contact"
"The Kings of Summer"
"The Forgotten"
"Monsters University"
"An American Werewolf in London"
"John Hodgman: Ragnarok"
"Robin Hood"
"Blackfish"
"Jeff, Who Lives at Home"
"Europa Report"
"The Chicago 8"
"Dances with Wolves"
"Breaking Away"
"Prince Avalanche"
"Frances Ha"
"Zodiac"
"The Sword in the Stone"
"Antz"
"Barbarella"
"The Crow: City of Angels"
"Robot & Frank"
"Iron Man 3"
"The Croods"
"Captain Phillips"
"The Lone Ranger"
"Her"
"V for Vendetta"
"Contagion"
"The Wind Rises"
"Men with Brooms"
"The Rescuers"
"Thor: The Dark World"
"Ender's Game"
"Saving Mr. Banks"
"The Secret Life of Walter Mitty"
"Speed"
"Battleship Potemkin"
"The Case of the Three Sided Dream"
"The Master"
"Wreck-It Ralph"
"Palo Alto"
"Cloudy with a Chance of Meatballs 2"
"X-Men: Days of Future Past"
"The Warriors"
"21 Jump Street"
"The Grand Budapest Hotel"
"Star Trek Into Darkness"
"G.I. Joe: Retaliation"
"Corn's-A-Poppin'"
"C.L.I.T."
"Braveheart"
"World War Z"
"The Lego Movie"
"Top Gun"
"The Dark Knight Rises"
"Rise of the Planet of the Apes"
"Django Unchained"
"The Congress"
"Prometheus"
"The Hobbit: The Desolation of Smaug"
"Dawn of the Planet of the Apes"
"Guardians of the Galaxy"
"Particle Fever"
"The Muppet Movie"
"Major League"
"The Rescuers Down Under"
"Stargate"
"Dallas Buyers Club"
"Rocky"
"Stop Making Sense"
"The Fifth Element"
"Turner & Hooch"
"Down Periscope"
"Mission to Mars"
"Divergent"
"Gravity"
"8 Femmes"
"Fantastic Planet"
"The Wolf of Wall Street"
"A Girl at My Door"
"Birdman"
"Galaxy Quest"
"King Kong"
"Passchendaele"
"The Greatest Movie Ever Rolled"
"Orlac’s Hände"
"Edge of Tomorrow"
"Star Trek Generations"
"Star Trek Nemesis"
"Trek Nation"
"Snowpiercer"
"Interstellar"
"Sky Captain and the World of Tomorrow"
